read_0	15341810	15342817
read_1	9834680	9835679
read_2	15060106	15061107
read_3	18709811	18710798
read_4	18914682	18915683
read_5	963851	964856
read_6	9282159	9283164
read_7	12933176	12934183
read_8	7912956	7913950
read_9	17827557	17828536
read_10	8035299	8036285
read_11	4499696	4500695
read_12	7315804	7316799
read_13	13526910	13527915
read_14	723021	724022
read_15	17556984	17557980
read_16	1548459	1549452
read_17	11541804	11542803
read_18	3222230	3223241
read_19	11341237	11342231
read_20	19597401	19598401
read_21	14250113	14251097
read_22	562794	563800
read_23	1665096	1666098
read_24	4253514	4254503
read_25	13038582	13039577
read_26	7107213	7108215
read_27	15070582	15071573
read_28	6306685	6307674
read_29	6799012	6800009
read_30	16407094	16408101
read_31	16037225	16038232
read_32	2943551	2944544
read_33	119362	120365
read_34	2544577	2545576
read_35	16468740	16469740
read_36	7153864	7154861
read_37	17337045	17338044
read_38	14041127	14042124
read_39	10339443	10340446
read_40	16158528	16159532
read_41	7414683	7415676
read_42	6376764	6377754
read_43	7884728	7885726
read_44	12514753	12515744
read_45	10869988	10870979
read_46	18989732	18990724
read_47	1557813	1558804
read_48	205063	206056
read_49	2785116	2786122
read_50	12922349	12923339
read_51	19869092	19870094
read_52	6795824	6796829
read_53	510259	511256
read_54	7537432	7538434
read_55	8550898	8551900
read_56	5645871	5646870
read_57	18618850	18619855
read_58	8140346	8141355
read_59	10437210	10438211
read_60	11797810	11798808
read_61	13017436	13018437
read_62	19023471	19024463
read_63	7508255	7509257
read_64	6364924	6365913
read_65	1255735	1256733
read_66	14263304	14264301
read_67	19303922	19304922
read_68	16617034	16618041
read_69	6805972	6806969
read_70	17118362	17119357
read_71	13218916	13219917
read_72	7841195	7842191
read_73	11362059	11363059
read_74	3533158	3534150
read_75	15057265	15058265
read_76	18526594	18527591
read_77	16402872	16403875
read_78	9696779	9697783
read_79	9576782	9577778
read_80	19449126	19450127
read_81	1187504	1188493
read_82	13814177	13815171
read_83	17277761	17278754
read_84	4865537	4866540
read_85	13781563	13782560
read_86	17015173	17016172
read_87	19300096	19301086
read_88	17485438	17486432
read_89	3775626	3776617
read_90	2627693	2628680
read_91	17656228	17657225
read_92	18398557	18399550
read_93	14785315	14786315
read_94	9710878	9711873
read_95	15639219	15640211
read_97	6860069	6861074
read_98	3716604	3717605
read_99	4183231	4184232
read_100	1472162	1473160
read_101	15651030	15652033
read_102	15751828	15752825
read_103	18164671	18165664
read_104	8083902	8084899
read_105	9588036	9589041
read_106	927345	928342
read_107	14851375	14852376
read_108	653946	654950
read_109	5659435	5660432
read_110	1494788	1495789
read_111	19232585	19233597
read_112	10042543	10043538
read_113	16579437	16580440
read_114	18978859	18979859
read_115	4004374	4005377
read_116	9481905	9482906
read_117	15734577	15735572
read_118	19471516	19472509
read_119	11260851	11261858
read_120	5878632	5879635
read_121	3928479	3929482
read_122	18024333	18025340
read_123	1363303	1364298
read_124	11759233	11760240
read_125	18579201	18580211
read_126	17695806	17696793
read_127	5121034	5122042
read_128	11831346	11832351
read_129	12069477	12070477
read_130	1634627	1635622
read_131	3180123	3181118
read_132	14408034	14409037
read_133	13645147	13646145
read_134	9142757	9143758
read_135	15444462	15445457
read_136	12264919	12265911
read_137	1277475	1278470
read_138	13957438	13958435
read_139	368342	369341
read_140	11592679	11593682
read_142	7815473	7816477
read_143	18849185	18850172
read_144	7868720	7869723
read_145	4457270	4458256
read_146	8950009	8951008
read_147	8121601	8122603
read_148	13380373	13381368
read_149	6210427	6211432
read_150	15185019	15186017
read_151	10337179	10338172
read_152	15845540	15846530
read_153	18651297	18652296
read_154	1237700	1238703
read_155	17520999	17522000
read_156	8145367	8146377
read_157	11619376	11620373
read_158	5764370	5765374
read_159	4421154	4422155
read_160	3702269	3703264
read_161	2631928	2632928
read_162	10057408	10058407
read_163	2822848	2823849
read_164	18081776	18082779
read_165	16978181	16979180
read_166	19697054	19698060
read_167	11380732	11381731
read_168	6125005	6126010
read_169	18743540	18744539
read_170	11306431	11307428
read_171	16851023	16852028
read_172	7444214	7445211
read_173	16786415	16787424
read_174	11902434	11903426
read_175	13761974	13762966
read_176	13486449	13487447
read_177	8142191	8143205
read_179	13595878	13596883
read_180	14746504	14747506
read_181	9863552	9864551
read_182	6517003	6518002
read_183	8900674	8901675
read_184	19484576	19485571
read_185	3956783	3957768
read_186	19382	20379
read_187	5339752	5340761
read_188	15414166	15415165
read_189	3152591	3153594
read_190	4274999	4275990
read_191	13972069	13973064
read_192	12554167	12555158
read_193	6123000	6123991
read_194	216735	217730
read_195	7708152	7709149
read_196	1111432	1112430
read_197	15235531	15236523
read_198	10349809	10350805
read_199	2478842	2479844
read_200	4121495	4122488
read_201	7700283	7701268
read_202	13745323	13746322
read_203	17958837	17959831
read_204	2680799	2681798
read_205	10046651	10047645
read_206	10797295	10798299
read_207	17598440	17599444
read_208	18925298	18926303
read_209	18957169	18958175
read_210	643924	644928
read_211	17198259	17199257
read_212	5459789	5460795
read_213	18356261	18357263
read_214	16449865	16450866
read_215	14943253	14944255
read_216	18264402	18265402
read_217	13208788	13209779
read_218	16741590	16742585
read_219	3450012	3451007
read_220	16561855	16562859
read_221	15008447	15009448
read_222	13243919	13244917
read_223	11034981	11035970
read_224	3224603	3225604
read_225	4991886	4992877
read_226	11124750	11125753
read_227	19770304	19771311
read_228	17256545	17257542
read_229	1976496	1977489
read_230	3770204	3771208
read_231	17433831	17434830
read_232	3959470	3960473
read_233	5231776	5232775
