read_0	15341809	15342818
read_1	9834679	9835679
read_2	15060105	15061107
read_3	18709810	18710798
read_4	18914681	18915683
read_5	963850	964856
read_6	9282156	9283164
read_7	12933175	12934183
read_8	7912955	7913950
read_9	17827556	17828536
read_10	8035298	8036285
read_11	4499695	4500695
read_12	7315803	7316799
read_13	13526909	13527915
read_14	723020	724022
read_15	17556983	17557980
read_16	1548458	1549452
read_17	11541803	11542803
read_18	3222230	3223241
read_19	11341236	11342231
read_20	19597400	19598401
read_21	14250112	14251097
read_22	562784	563800
read_23	1665095	1666098
read_24	4253513	4254503
read_25	13038581	13039577
read_26	7107212	7108215
read_27	15070581	15071573
read_28	6306684	6307674
read_29	6799011	6800011
read_30	16407093	16408101
read_31	16037224	16038232
read_32	2943550	2944544
read_33	119361	120365
read_34	2544576	2545576
read_35	16468739	16469741
read_36	7153863	7154861
read_37	17337044	17338044
read_38	14041126	14042124
read_39	10339442	10340446
read_40	16158525	16159532
read_41	7414682	7415676
read_42	6376763	6377754
read_43	7884727	7885726
read_44	12514752	12515744
read_45	10869987	10870979
read_46	18989731	18990724
read_47	1557812	1558804
read_48	205062	206056
read_49	2785115	2786122
read_50	12922348	12923339
read_51	19869091	19870094
read_52	6795823	6796829
read_53	510258	511256
read_54	7537431	7538434
read_55	8550897	8551901
read_56	5645870	5646870
read_57	18618849	18619855
read_58	8140345	8141355
read_59	10437209	10438211
read_60	11797809	11798808
read_61	13017435	13018437
read_62	19023471	19024463
read_63	7508254	7509257
read_64	6364923	6365910
read_65	1255734	1256733
read_66	14263303	14264301
read_67	19303921	19304922
read_68	16617031	16618041
read_69	6805971	6806969
read_70	17118361	17119357
read_71	13218915	13219918
read_72	7841193	7842191
read_73	11362058	11363059
read_74	3533157	3534150
read_75	15057264	15058265
read_76	18526593	18527591
read_77	16402871	16403875
read_78	9696779	9697783
read_79	9576781	9577778
read_80	19449125	19450127
read_81	1187503	1188493
read_82	13814176	13815171
read_83	17277760	17278754
read_84	4865536	4866540
read_85	13781562	13782560
read_86	17015172	17016172
read_87	19300095	19301087
read_88	17485437	17486432
read_89	3775625	3776617
read_90	2627692	2628680
read_91	17656227	17657225
read_92	18398556	18399550
read_93	14785314	14786317
read_94	9710877	9711873
read_95	15639218	15640211
read_96	6998138	6999136
read_97	6860068	6861074
read_98	3716603	3717605
read_99	4183230	4184232
read_100	1472161	1473163
read_101	15651029	15652033
read_102	15751827	15752825
read_103	18164670	18165664
read_104	8083901	8084899
read_105	9588029	9589041
read_106	927344	928342
read_107	14851374	14852376
read_108	653945	654950
read_109	5659434	5660432
read_110	1494787	1495790
read_111	19232582	19233597
read_112	10042542	10043538
read_113	16579436	16580440
read_114	18978858	18979859
read_115	4004373	4005377
read_116	9481904	9482906
read_117	15734576	15735572
read_118	19471515	19472509
read_119	11260850	11261858
read_120	5878631	5879635
read_121	3928478	3929482
read_122	18024332	18025344
read_123	1363302	1364298
read_124	11759232	11760240
read_125	18579200	18580211
read_126	17695805	17696793
read_127	5121033	5122042
read_128	11831345	11832351
read_129	12069476	12070478
read_130	1634626	1635623
read_131	3180122	3181118
read_132	14408033	14409037
read_133	13645146	13646145
read_134	9142756	9143758
read_135	15444461	15445457
read_136	12264918	12265911
read_137	1277474	1278470
read_138	13957437	13958435
read_139	368341	369342
read_140	11592678	11593682
read_141	14712396	14713390
read_142	7815469	7816477
read_143	18849184	18850172
read_144	7868719	7869723
read_145	4457269	4458256
read_146	8950008	8951008
read_147	8121598	8122603
read_148	13380372	13381367
read_149	6210426	6211432
read_150	15185018	15186018
